Date,Fuel_Consumption,Cost,Distance
2026-07-01,5.2,450,120
2026-07-02,4.8,420,110
2026-07-03,6.0,500,140
2026-07-04,5.5,460,130
2026-07-05,4.9,430,115
2026-07-06,5.7,480,125
2026-07-07,6.2,520,145
2026-07-08,5.1,440,118
2026-07-09,4.6,410,105
2026-07-10,5.8,495,135
2026-07-11,6.3,530,150
2026-07-12,5.4,470,128
2026-07-13,4.7,415,108
2026-07-14,5.9,505,138
2026-07-15,6.1,515,142
2026-07-16,5.0,435,112
2026-07-17,4.8,425,109
2026-07-18,5.6,485,127
2026-07-19,6.4,540,152
2026-07-20,5.3,465,122
2026-07-21,4.9,428,111
2026-07-22,5.7,490,129
2026-07-23,6.2,525,147
2026-07-24,5.2,445,119
2026-07-25,4.6,412,106
2026-07-26,5.8,498,136
2026-07-27,6.0,510,141
2026-07-28,5.1,438,114
2026-07-29,4.7,418,107
2026-07-30,5.9,508,139
2026-07-31,6.3,532,151
